#lambda/nm	DC	C1
456.862	618.4	891
457.274	620.6	889.6
457.665	604.6	878
458.077	619.2	890.6
458.489	637	900.4
458.902	613.6	873.8
459.293	621.8	873.8
459.705	611.8	888.6
460.118	601.2	883.4
460.53	606.6	885.4
460.921	605	880.4
461.334	608	880.8
461.747	596.2	877.4
462.16	613.6	884.2
462.551	610.6	890
462.964	602	890.2
463.377	586.8	873
463.79	595.8	873.2
464.182	601.6	885.2
464.595	583.8	868.6
465.008	593	877.4
465.421	595.6	877.2
465.813	593.6	881.6
466.226	594.6	877.2
466.64	583	873.2
467.053	631.2	911.8
467.445	591.6	888.6
467.859	608.4	893.2
468.272	587.4	894
468.686	598.8	891
469.078	592.6	872.2
469.492	570.4	868.2
469.906	587.8	886.2
470.298	584.4	882.2
470.712	582.8	868.2
471.126	613	902.8
471.54	573.4	867.6
471.933	580.2	868.4
472.347	579.6	870.6
472.761	582.4	873.8
473.175	580.4	868.2
473.568	583.8	876.6
473.982	582.8	867.6
474.397	587.2	877.4
474.79	587.4	866.6
475.204	596	873.4
475.619	584.8	874.8
476.033	584	855.6
476.426	579.8	864.6
476.841	579	864.4
477.256	611	875
477.649	578.8	847.8
478.064	580	841.4
478.479	571.8	857.2
478.872	572.2	849
479.287	566.2	831.4
479.702	586.4	850.8
480.118	584	846.8
480.511	579.2	839.6
480.927	582	845.6
481.342	571.6	851.2
481.736	586.2	857.2
482.151	575.2	835.4
482.566	586.8	845.6
482.96	571.4	837
483.376	587.2	851.8
483.792	576	829
484.186	571.6	827.8
484.602	571.6	838.4
485.017	574.2	838.8
485.412	584.2	826.2
485.827	586.2	840
486.243	573	829.6
486.638	602	851
487.054	589	831
487.47	598.4	835.8
487.865	577.2	817.2
488.281	572.6	820.2
488.697	576.4	825.6
489.092	576.8	814
489.508	571.8	811.8
489.925	584.2	825
490.32	573.2	805.2
490.736	591.4	816
491.153	577	801.8
491.548	572.6	802
491.964	575.2	824.8
492.381	566.2	795.2
492.776	580.4	799.4
493.193	578.8	801.8
493.61	578.4	808.8
494.006	578	798.6
494.422	581.2	803.8
494.84	571.2	785.6
495.235	579.2	796.6
495.652	576.4	788.4
496.069	573.2	791.4
496.465	565.4	785.8
496.883	574	784.8
497.3	603	806
497.696	568.4	774.8
498.113	588.6	778.8
498.509	579.2	761.2
498.927	575.8	768.8
499.344	572.8	778.4
499.741	578.4	763.6
500.158	592.8	786.4
500.576	588	780.4
500.973	581.8	772.8
501.39	572.6	756.6
501.787	570.4	762.4
502.205	581.8	764.2
502.623	583.4	751.2
503.02	571.2	739
503.438	579.6	758.6
503.856	581.6	758.4
504.253	586.4	755.8
504.671	579.8	757
505.068	577.4	754.6
505.486	581.4	743.6
505.905	601.2	760.2
506.302	581.2	745.6
506.72	587.2	751.2
507.118	575.8	737.2
507.536	580.8	738.4
507.955	576.4	732.6
508.352	588.2	739.2
508.771	583.8	733.2
509.169	578	729.8
509.587	571.4	725
510.006	583.8	731.4
510.404	576.6	727
510.823	583	721
511.221	578.4	727.8
511.64	588.8	730.8
512.038	597.4	732.4
512.457	591.6	730.6
512.877	582.8	714.6
513.275	583.6	715.4
513.694	587	712
514.092	586	713.4
514.512	589.4	726.8
514.91	588.8	725
515.33	586.8	721
515.749	588.6	716.8
516.148	595.2	716.6
516.568	591.6	717.4
516.966	592	715.2
517.386	587.8	712.2
517.785	590.2	712.8
518.205	585.4	696.4
518.603	581.4	695.4
519.024	585.4	694.4
519.444	594	698.6
519.843	592.6	711.6
520.263	599.6	713.4
520.662	600	705.2
521.082	595.6	699.4
521.481	597	688.2
521.902	591.2	690.2
522.301	594.8	685.6
522.722	598.2	694.4
523.121	606	691.8
523.542	596	690.4
523.963	600.8	695.8
524.362	591.4	681.8
524.783	599.2	678.8
525.183	601.8	686.8
525.604	608	685.8
526.003	594.8	669.6
526.425	594.4	679.8
526.824	605	679.6
527.246	602.2	686.6
527.646	608	683.6
528.067	602.6	674
528.467	609.4	681.4
528.888	601	684.4
529.289	597	665.6
529.71	606	678.2
530.11	595	668.4
530.532	601.4	664.6
530.932	595.2	667
531.354	596.8	669.2
531.755	631.8	695.6
532.176	605	669.6
532.577	605.4	661.4
532.999	605.8	665.2
533.4	602.2	663.2
533.822	610.2	670.4
534.223	619.4	659.6
534.645	607	657.4
535.046	604	660.6
535.468	609.6	648.2
535.869	612.4	677.4
536.292	607.8	647.8
536.693	631.2	678.4
537.115	600.8	648.2
537.516	604.8	645.8
537.939	600.6	643.4
538.34	617.4	673.4
538.742	615	660.6
539.165	604	651.6
539.566	609	643.8
539.989	597.6	637
540.391	595.4	643.8
540.814	605.6	649
541.216	610.2	642.8
541.639	608.2	649
542.041	614.6	657.8
542.464	607	645.8
542.866	599.6	648.6
543.268	596.4	642.8
543.691	610.8	651.4
544.093	612.6	644.6
544.517	614.8	658.2
544.919	594	633.4
545.343	626.8	660
545.745	602.4	638.4
546.147	604.8	639.4
546.571	598.6	638.6
546.974	601.8	638
547.398	604	645.4
547.8	611.2	654.2
548.224	596	636.6
548.627	591	629.2
549.03	608	641
549.454	590	626.2
549.857	592.2	628.2
550.281	595	629.8
550.684	596.8	630.4
551.087	611.2	634
551.512	601.8	634
551.915	596.2	633
552.34	596.4	636.6
552.743	595.2	626.8
553.146	595.8	627.4
553.571	592.4	624.8
553.975	611.4	646.4
554.399	587.2	624.6
554.803	635.2	659.2
555.207	588	617.4
555.632	580.6	623
556.036	600.8	634.8
556.461	583.8	611.6
556.865	594.2	620.2
557.268	587.2	613.4
557.694	586.6	617.6
558.098	593.6	628.8
558.502	593.6	625.6
558.927	586	614.8
559.332	591.4	623
559.736	593.8	612.2
560.162	595	622.2
560.566	583.8	612
560.992	592.4	619.2
561.396	582.2	610.6
561.801	590.4	613.8
562.227	581	613.6
562.631	582	611
563.036	583.8	610.2
563.462	594.8	621
563.867	582.6	614.6
564.272	577	594.8
564.698	590.4	611.4
565.103	566.8	601.4
565.508	593.8	623.4
565.935	576.8	609.4
566.34	586.8	605
566.745	585.8	619.6
567.172	582.4	607.4
567.577	595.8	617.8
567.982	595.2	620.2
